state,day,feat,value,rank.states,1,2,3,4,5
Alabama,2020-01-30,73,495,3,cure,world,made,imagine,ebola
Alabama,2020-01-30,93,347,5,#iran,thread,died,die,in 
Alabama,2020-01-31,0,387,4,because of the,online,right now .,situation,china
Alabama,2020-01-31,36,489,3,media,bullshit,information,it would be,scare
Alabama,2020-01-31,48,581,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-01-31,56,351,5,fear,no one,media,panic,a pandemic
Alabama,2020-01-31,73,500,2,cure,world,made,imagine,ebola
Alabama,2020-02-01,0,355,4,because of the,online,right now .,situation,china
Alabama,2020-02-01,36,465,2,media,bullshit,information,it would be,scare
Alabama,2020-02-01,48,521,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-01,56,329,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-01,73,463,3,cure,world,made,imagine,ebola
Alabama,2020-02-02,0,330,4,because of the,online,right now .,situation,china
Alabama,2020-02-02,36,456,3,media,bullshit,information,it would be,scare
Alabama,2020-02-02,48,516,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-02,56,296,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-02,73,466,2,cure,world,made,imagine,ebola
Alabama,2020-02-03,0,407,4,because of the,online,right now .,situation,china
Alabama,2020-02-03,36,504,3,media,bullshit,information,it would be,scare
Alabama,2020-02-03,48,573,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-03,56,348,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-03,73,544,2,cure,world,made,imagine,ebola
Alabama,2020-02-04,0,417,4,because of the,online,right now .,situation,china
Alabama,2020-02-04,36,505,3,media,bullshit,information,it would be,scare
Alabama,2020-02-04,48,588,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-04,56,364,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-04,73,523,2,cure,world,made,imagine,ebola
Alabama,2020-02-05,0,586,4,because of the,online,right now .,situation,china
Alabama,2020-02-05,36,735,2,media,bullshit,information,it would be,scare
Alabama,2020-02-05,48,922,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-05,56,533,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-05,73,734,3,cure,world,made,imagine,ebola
Alabama,2020-02-06,0,460,4,because of the,online,right now .,situation,china
Alabama,2020-02-06,36,630,3,media,bullshit,information,it would be,scare
Alabama,2020-02-06,48,701,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-06,56,436,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-06,73,650,2,cure,world,made,imagine,ebola
Alabama,2020-02-07,0,349,4,because of the,online,right now .,situation,china
Alabama,2020-02-07,36,517,2,media,bullshit,information,it would be,scare
Alabama,2020-02-07,48,560,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-07,56,328,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-07,73,513,3,cure,world,made,imagine,ebola
Alabama,2020-02-08,0,327,4,because of the,online,right now .,situation,china
Alabama,2020-02-08,36,490,3,media,bullshit,information,it would be,scare
Alabama,2020-02-08,48,564,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-08,73,498,2,cure,world,made,imagine,ebola
Alabama,2020-02-08,93,320,5,#iran,thread,died,die,in 
Alabama,2020-02-09,0,304,4,because of the,online,right now .,situation,china
Alabama,2020-02-09,36,440,3,media,bullshit,information,it would be,scare
Alabama,2020-02-09,48,509,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-09,73,462,2,cure,world,made,imagine,ebola
Alabama,2020-02-09,93,276,5,#iran,thread,died,die,in 
Alabama,2020-02-10,0,384,4,because of the,online,right now .,situation,china
Alabama,2020-02-10,36,440,3,media,bullshit,information,it would be,scare
Alabama,2020-02-10,48,478,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-10,56,337,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-10,73,468,2,cure,world,made,imagine,ebola
Alabama,2020-02-11,0,359,4,because of the,online,right now .,situation,china
Alabama,2020-02-11,36,498,3,media,bullshit,information,it would be,scare
Alabama,2020-02-11,48,558,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-11,73,501,2,cure,world,made,imagine,ebola
Alabama,2020-02-11,93,347,5,#iran,thread,died,die,in 
Alabama,2020-02-12,0,397,4,because of the,online,right now .,situation,china
Alabama,2020-02-12,36,533,3,media,bullshit,information,it would be,scare
Alabama,2020-02-12,48,602,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-12,56,375,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-12,73,538,2,cure,world,made,imagine,ebola
Alabama,2020-02-13,0,434,4,because of the,online,right now .,situation,china
Alabama,2020-02-13,36,568,3,media,bullshit,information,it would be,scare
Alabama,2020-02-13,48,615,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-13,56,360,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-13,73,584,2,cure,world,made,imagine,ebola
Alabama,2020-02-14,0,335,4,because of the,online,right now .,situation,china
Alabama,2020-02-14,36,461,3,media,bullshit,information,it would be,scare
Alabama,2020-02-14,48,537,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-14,56,305,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-14,73,491,2,cure,world,made,imagine,ebola
Alabama,2020-02-15,0,295,4,because of the,online,right now .,situation,china
Alabama,2020-02-15,36,386,3,media,bullshit,information,it would be,scare
Alabama,2020-02-15,48,446,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-15,73,401,2,cure,world,made,imagine,ebola
Alabama,2020-02-15,93,292,5,#iran,thread,died,die,in 
Alabama,2020-02-16,0,319,4,because of the,online,right now .,situation,china
Alabama,2020-02-16,36,445,3,media,bullshit,information,it would be,scare
Alabama,2020-02-16,48,507,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-16,73,479,2,cure,world,made,imagine,ebola
Alabama,2020-02-16,93,301,5,#iran,thread,died,die,in 
Alabama,2020-02-17,0,353,4,because of the,online,right now .,situation,china
Alabama,2020-02-17,36,505,3,media,bullshit,information,it would be,scare
Alabama,2020-02-17,48,542,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-17,56,327,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-17,73,521,2,cure,world,made,imagine,ebola
Alabama,2020-02-18,0,407,4,because of the,online,right now .,situation,china
Alabama,2020-02-18,36,573,3,media,bullshit,information,it would be,scare
Alabama,2020-02-18,48,637,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-18,73,595,2,cure,world,made,imagine,ebola
Alabama,2020-02-18,93,383,5,#iran,thread,died,die,in 
Alabama,2020-02-19,0,362,5,because of the,online,right now .,situation,china
Alabama,2020-02-19,36,576,3,media,bullshit,information,it would be,scare
Alabama,2020-02-19,48,648,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-19,73,597,2,cure,world,made,imagine,ebola
Alabama,2020-02-19,93,374,4,#iran,thread,died,die,in 
Alabama,2020-02-20,0,400,4,because of the,online,right now .,situation,china
Alabama,2020-02-20,36,493,3,media,bullshit,information,it would be,scare
Alabama,2020-02-20,48,558,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-20,73,516,2,cure,world,made,imagine,ebola
Alabama,2020-02-20,93,396,5,#iran,thread,died,die,in 
Alabama,2020-02-21,0,320,4,because of the,online,right now .,situation,china
Alabama,2020-02-21,36,425,3,media,bullshit,information,it would be,scare
Alabama,2020-02-21,48,469,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-21,73,441,2,cure,world,made,imagine,ebola
Alabama,2020-02-21,93,312,5,#iran,thread,died,die,in 
Alabama,2020-02-22,0,328,4,because of the,online,right now .,situation,china
Alabama,2020-02-22,36,474,3,media,bullshit,information,it would be,scare
Alabama,2020-02-22,48,517,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-22,56,308,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-22,73,490,2,cure,world,made,imagine,ebola
Alabama,2020-02-23,0,363,4,because of the,online,right now .,situation,china
Alabama,2020-02-23,36,459,3,media,bullshit,information,it would be,scare
Alabama,2020-02-23,48,534,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-23,56,345,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-23,73,485,2,cure,world,made,imagine,ebola
Alabama,2020-02-24,0,394,4,because of the,online,right now .,situation,china
Alabama,2020-02-24,36,485,3,media,bullshit,information,it would be,scare
Alabama,2020-02-24,48,555,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-24,56,380,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-24,73,522,2,cure,world,made,imagine,ebola
Alabama,2020-02-25,0,406,4,because of the,online,right now .,situation,china
Alabama,2020-02-25,36,503,3,media,bullshit,information,it would be,scare
Alabama,2020-02-25,48,550,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-25,56,375,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-25,73,515,2,cure,world,made,imagine,ebola
Alabama,2020-02-26,0,421,4,because of the,online,right now .,situation,china
Alabama,2020-02-26,36,569,3,media,bullshit,information,it would be,scare
Alabama,2020-02-26,48,635,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-26,56,391,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-26,73,599,2,cure,world,made,imagine,ebola
Alabama,2020-02-27,0,405,4,because of the,online,right now .,situation,china
Alabama,2020-02-27,36,501,3,media,bullshit,information,it would be,scare
Alabama,2020-02-27,48,537,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-27,56,370,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-27,73,519,2,cure,world,made,imagine,ebola
Alabama,2020-02-28,0,341,4,because of the,online,right now .,situation,china
Alabama,2020-02-28,36,458,3,media,bullshit,information,it would be,scare
Alabama,2020-02-28,48,526,2,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-28,73,540,1,cure,world,made,imagine,ebola
Alabama,2020-02-28,93,290,5,#iran,thread,died,die,in 
Alabama,2020-02-29,0,335,4,because of the,online,right now .,situation,china
Alabama,2020-02-29,36,456,3,media,bullshit,information,it would be,scare
Alabama,2020-02-29,48,523,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-02-29,56,301,5,fear,no one,media,panic,a pandemic
Alabama,2020-02-29,73,477,2,cure,world,made,imagine,ebola
Alabama,2020-03-01,0,337,4,because of the,online,right now .,situation,china
Alabama,2020-03-01,36,452,3,media,bullshit,information,it would be,scare
Alabama,2020-03-01,48,491,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-01,56,316,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-01,73,471,2,cure,world,made,imagine,ebola
Alabama,2020-03-02,0,378,4,because of the,online,right now .,situation,china
Alabama,2020-03-02,36,497,3,media,bullshit,information,it would be,scare
Alabama,2020-03-02,48,540,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-02,56,354,5,fear,no one,media,panic,a pandemic
Alabama,2020-03-02,73,536,2,cure,world,made,imagine,ebola
Alabama,2020-03-03,0,389,4,because of the,online,right now .,situation,china
Alabama,2020-03-03,36,513,3,media,bullshit,information,it would be,scare
Alabama,2020-03-03,48,592,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-03,73,536,2,cure,world,made,imagine,ebola
Alabama,2020-03-03,93,369,5,#iran,thread,died,die,in 
Alabama,2020-03-04,0,440,4,because of the,online,right now .,situation,china
Alabama,2020-03-04,36,588,3,media,bullshit,information,it would be,scare
Alabama,2020-03-04,48,674,1,trump,is a hoax,democrats,called,hoax
Alabama,2020-03-04,73,610,2,cure,world,made,imagine,ebola
Alabama,2020-03-04,93,433,5,#iran,thread,died,die,in 
